anime_id,title,title_english,type,episodes,status,aired_from,aired_to,score,rank,popularity,members,source,rating,season,year,genres,studios
1,Cowboy Bebop,Cowboy Bebop,TV,26,Finished Airing,1998-04-03T00:00:00+00:00,1999-04-24T00:00:00+00:00,8.75,48,42,2028309,Original,R - 17+ (violence & profanity),spring,1998.0,Action|Award Winning|Sci-Fi,Sunrise
269,Bleach,Bleach,TV,366,Finished Airing,2004-10-05T00:00:00+00:00,2012-03-27T00:00:00+00:00,7.99,732,35,2170866,Manga,PG-13 - Teens 13 or older,fall,2004.0,Action|Adventure|Supernatural,Studio Pierrot
28977,Gintama°,Gintama Season 4,TV,51,Finished Airing,2015-04-08T00:00:00+00:00,2016-03-30T00:00:00+00:00,9.05,8,347,683780,Manga,PG-13 - Teens 13 or older,spring,2015.0,Action|Comedy|Sci-Fi,Bandai Namco Pictures
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,JoJo's Bizarre Adventure: Golden Wind,TV,39,Finished Airing,2018-10-06T00:00:00+00:00,2019-07-28T00:00:00+00:00,8.58,116,146,1144115,Manga,R - 17+ (violence & profanity),fall,2018.0,Action|Adventure,David Production
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,Movie,1,Finished Airing,2001-09-01T00:00:00+00:00,,8.38,241,654,406983,Original,R - 17+ (violence & profanity),,,Action|Sci-Fi,Bones
9253,Steins;Gate,Steins;Gate,TV,24,Finished Airing,2011-04-06T00:00:00+00:00,2011-09-14T00:00:00+00:00,9.07,5,14,2773782,Visual novel,PG-13 - Teens 13 or older,spring,2011.0,Drama|Sci-Fi|Suspense,White Fox
