anime_id,title,title_english,title_japanese,anime_type,episodes,status,aired_from,aired_to,score,scored_by,rank,popularity_rank,members,favorites,source,rating,season,season_year,duration,studios,producers,genres,extracted_at
117,Shinpi no Sekai El-Hazard,El Hazard: The Magnificent World,神秘の世界エルハザード,OVA,7.0,Finished Airing,1995-05-26T00:00:00+00:00,1996-01-25T00:00:00+00:00,7.24,8707,3290,5204,22334,108,Original,PG-13 - Teens 13 or older,,,34 min per ep,AIC,Pioneer LDC|Arts Pro,Adventure|Comedy|Fantasy|Romance,2026-01-25T21:29:57.883413
118,Shinpi no Sekai El-Hazard Season 2,El Hazard 2: The Magnificent World,神秘の世界 エルハザード 第2期,OVA,4.0,Finished Airing,1997-03-21T00:00:00+00:00,1997-10-25T00:00:00+00:00,6.76,4894,5825,7050,10406,6,Original,PG-13 - Teens 13 or older,,,30 min per ep,AIC,Pioneer LDC|Arts Pro,Adventure|Comedy|Fantasy,2026-01-25T21:29:59.104855
119,Final Approach,,φなる・あぷろーち,TV,13.0,Finished Airing,2004-10-03T00:00:00+00:00,2004-12-26T00:00:00+00:00,6.49,18312,7515,4134,37239,50,Visual novel,PG-13 - Teens 13 or older,fall,2004.0,14 min per ep,Trinet Entertainment|Zexcs,,Comedy|Drama|Romance,2026-01-25T21:30:00.323089
120,Fruits Basket,Fruits Basket,フルーツバスケット,TV,26.0,Finished Airing,2001-07-05T00:00:00+00:00,2001-12-27T00:00:00+00:00,7.69,293230,1405,436,563850,9938,Manga,PG-13 - Teens 13 or older,summer,2001.0,24 min per ep,Studio Deen,TV Tokyo|Nihon Ad Systems|King Records,Drama|Romance|Supernatural,2026-01-25T21:30:01.557992
121,Fullmetal Alchemist,Fullmetal Alchemist,鋼の錬金術師,TV,51.0,Finished Airing,2003-10-04T00:00:00+00:00,2004-10-02T00:00:00+00:00,8.11,926720,543,87,1545282,26736,Manga,R - 17+ (violence & profanity),fall,2003.0,24 min per ep,Bones,Aniplex|Dentsu|Square Enix|Mainichi Broadcasting System,Action|Adventure|Award Winning|Drama|Fantasy,2026-01-25T21:30:02.768992
122,Full Moon wo Sagashite,Looking for the Full Moon,満月をさがして,TV,52.0,Finished Airing,2002-04-06T00:00:00+00:00,2003-03-29T00:00:00+00:00,7.93,49876,827,2122,117086,1906,Manga,PG-13 - Teens 13 or older,spring,2002.0,24 min per ep,Studio Deen,TV Tokyo|Nihon Ad Systems,Comedy|Drama|Romance|Supernatural,2026-01-25T21:30:03.995813
123,Fushigi Yuugi,Mysterious Play,ふしぎ遊戯,TV,52.0,Finished Airing,1995-04-06T00:00:00+00:00,1996-03-28T00:00:00+00:00,7.6,54214,1682,1976,127896,2151,Manga,PG-13 - Teens 13 or older,spring,1995.0,23 min per ep,Studio Pierrot,TV Tokyo|Yomiko Advertising|Apollon,Action|Adventure|Fantasy|Romance,2026-01-25T21:30:05.197050
124,Fushigi Yuugi: Eikouden,Mysterious Play: Eikoden,ふしぎ遊戯 -永光伝,OVA,4.0,Finished Airing,2001-12-21T00:00:00+00:00,2002-06-25T00:00:00+00:00,6.79,9505,5674,5527,19185,38,Manga,PG-13 - Teens 13 or older,,,30 min per ep,Studio Pierrot,,Adventure|Drama|Fantasy|Romance,2026-01-25T21:30:06.395205
125,Futakoi,Twin Love,双恋,TV,13.0,Finished Airing,2004-10-07T00:00:00+00:00,2004-12-30T00:00:00+00:00,6.41,16774,8012,4129,37336,26,Original,PG-13 - Teens 13 or older,fall,2004.0,24 min per ep,Telecom Animation Film,Lantis,Comedy|Romance,2026-01-25T21:30:07.660182
126,Futakoi Alternative,Twin Love 2,フタコイ オルタナティブ,TV,13.0,Finished Airing,2005-04-07T00:00:00+00:00,2005-06-30T00:00:00+00:00,6.83,12467,5458,4368,33309,86,Original,PG-13 - Teens 13 or older,spring,2005.0,24 min per ep,ufotable|feel.|Studio Flag,Lantis,Comedy|Drama|Romance,2026-01-25T21:30:08.907136
127,Gate Keepers,,ゲートキーパーズ,TV,24.0,Finished Airing,2000-04-03T00:00:00+00:00,2000-09-18T00:00:00+00:00,6.9,9999,5049,5031,24084,62,Game,PG-13 - Teens 13 or older,spring,2000.0,25 min per ep,Gonzo,Bandai Visual|Media Factory|Kadokawa Shoten|Pony Canyon,Comedy|Fantasy|Sci-Fi,2026-01-25T21:30:10.119056
128,Gate Keepers 21,,ゲートキーパーズ21,OVA,6.0,Finished Airing,2002-04-24T00:00:00+00:00,2003-01-08T00:00:00+00:00,6.73,4992,6008,6741,11545,21,Game,PG-13 - Teens 13 or older,,,25 min per ep,Gonzo,,Drama|Sci-Fi,2026-01-25T21:30:11.338957
129,Gensoumaden Saiyuuki,Saiyuki,幻想魔伝 最遊記,TV,50.0,Finished Airing,2000-04-04T00:00:00+00:00,2001-03-27T00:00:00+00:00,7.53,22181,1973,3219,58694,800,Manga,R - 17+ (violence & profanity),spring,2000.0,23 min per ep,Studio Pierrot,TV Tokyo|Dentsu|Group TAC,Action|Adventure|Drama|Fantasy,2026-01-25T21:30:12.562267
130,Saiyuuki Reload,Saiyuki Reload,最遊記RELOAD,TV,25.0,Finished Airing,2003-10-02T00:00:00+00:00,2004-03-25T00:00:00+00:00,7.36,14200,2649,4095,38062,122,Manga,PG-13 - Teens 13 or older,fall,2003.0,23 min per ep,Studio Pierrot,Zet,Action|Adventure|Comedy|Drama|Supernatural,2026-01-25T21:30:13.782809
